avalicao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
145,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
146,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
147,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
148,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
149,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
150,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
151,36433,36653,36906,36084,36426,36595,36584,36269,36830,35987
152,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
153,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
154,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
155,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
156,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
157,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
158,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
159,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
160,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
161,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
162,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
163,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
164,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
165,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
166,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
167,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
168,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
169,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
170,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
171,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
172,36433,36653,36906,36084,36426,36595,36584,36269,36830,36319
173,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
174,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
175,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
176,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
177,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
178,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
179,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
180,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
181,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
182,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
183,36433,36811,36906,36084,36426,36595,36584,36269,36830,36319
184,36433,36811,36906,36084,36426,36595,36584,36269,36830,36572
185,36433,36811,36906,36084,36426,36595,36584,36269,36830,36572
186,36433,36811,36906,36084,36426,36595,36584,36269,36830,36572
187,36433,36811,36906,36084,36426,36595,36584,36523,36830,36572
188,36433,36811,36906,36084,36426,36595,36584,36523,36830,36572
189,36433,36811,36906,36084,36426,36595,36584,36523,36830,36572
190,36433,36811,36906,36084,36426,36595,36584,36523,36830,36572
191,36433,36811,36906,36084,36426,36595,36584,36523,36830,36572
192,36433,36811,36906,36084,36426,36595,36584,36523,36830,36572
193,36433,36811,36906,36084,36426,36698,36584,36523,36830,36572
194,36433,36811,36906,36084,36426,36698,36584,36523,36830,36572
195,36433,36811,36906,36084,36426,36698,36584,36523,36830,36572
196,36433,36811,36906,36084,36426,36698,36584,36523,36830,36572
197,36433,36811,36906,36084,36426,36698,36584,36523,36830,36572
198,36433,36811,36906,36084,36426,36698,36584,36523,36830,36572
199,36433,36811,36906,36084,36426,36698,36584,36523,36830,36572
200,36433,36811,36906,36084,36426,36698,36584,36793,36830,36572
201,36433,36811,36906,36084,36426,36698,36584,36793,36830,36572
202,36433,36811,36906,36084,36426,36698,36584,36793,36830,36572
203,36433,36811,36906,36084,36426,36698,36584,36793,36830,36572
