avaliacao,ex1,ex2,ex3,ex4,ex5,ex6,ex7,ex8,ex9,ex10
267,36914,37680,37689,37673,37256,37216,37335,36809,36939,37855
268,36990,37680,37689,37673,37256,37216,37335,36949,36939,37855
269,36990,37680,37689,37673,37256,37216,37335,36949,36939,37855
270,36990,37680,37689,37673,37256,37216,37335,36949,36939,37855
271,36990,37680,37689,37673,37256,37216,37335,36949,36939,37855
272,36990,37680,37689,37673,37256,37216,37335,36949,36939,37855
273,37243,37680,37689,37673,37256,37216,37335,36949,36939,37855
274,37243,37680,37689,37673,37256,37216,37335,36949,36939,37855
275,37243,37680,37689,37673,37256,37216,37335,36949,36939,37855
276,37243,37680,37689,37673,37256,37216,37335,36949,36939,37855
277,37243,37680,37689,37673,37256,37216,37335,36949,36939,37855
278,37243,37680,37689,37673,37256,37216,37335,36949,36939,37855
279,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
280,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
281,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
282,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
283,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
284,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
285,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
286,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
287,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
288,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
289,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
290,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
291,37243,37680,37689,37767,37424,37216,37335,36949,36939,37855
292,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
293,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
294,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
295,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
296,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
297,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
298,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
299,37243,37680,37689,37767,37424,37477,37335,36949,36939,37855
300,37243,37680,37689,37767,37424,38109,37335,36949,36939,37855
301,37243,37680,37689,37767,37424,38109,37335,36949,36939,37855
302,37243,37680,37689,37767,37424,38109,37335,36949,36939,37855
303,37243,37680,37689,37767,37424,38109,37335,36949,36939,37855
304,37243,37914,37689,38368,37424,38109,37335,36949,36939,37855
305,37243,37914,37689,38368,37424,38109,37335,36949,36939,37855
306,37243,37914,37689,38368,37424,38109,37335,36949,36939,37855
307,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
308,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
309,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
310,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
311,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
312,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
313,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
314,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
315,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
316,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
317,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
318,37843,37914,37689,38368,37424,38109,37335,36949,36939,37855
319,37843,37914,37689,38368,37533,38109,37335,36949,36939,37855
320,37843,37914,38035,38368,37533,38109,37491,36949,36939,38136
321,37843,37914,38035,38368,37533,38109,37491,36949,36939,38136
322,37843,37914,38035,38368,37533,38109,37491,36949,36939,38136
323,37843,37914,38035,38368,37533,38109,37491,36949,36939,38136
324,37843,37914,38035,38368,37533,38109,37491,36949,36939,38136
325,37843,37914,38035,38368,37533,38109,37491,36949,36939,38136
326,38467,37914,38035,38368,37533,38109,37491,37228,36939,38136
327,38467,37914,38035,38368,37533,38109,37491,37228,36939,38136
328,38467,37914,38035,38368,37533,38109,37491,37228,36939,38136
329,38467,37914,38035,38368,37533,38109,37491,37228,36939,38136
330,38467,37914,38035,38368,37533,38109,37491,37228,37056,38136
331,38467,37914,38035,38368,37533,38109,37491,37228,37056,38136
332,38467,37914,38035,38368,37533,38109,37491,37228,37056,38136
333,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
334,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
335,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
336,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
337,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
338,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
339,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
340,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
341,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
342,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
343,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
344,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
345,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
346,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
347,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
348,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
349,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
350,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
351,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
352,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
353,38467,37914,38035,38368,37704,38109,37491,37228,37056,38136
354,38467,38877,38035,38368,37704,38109,37491,37228,37671,38136
355,38467,38877,38035,38368,37704,38109,37491,37228,37671,38136
356,38467,38877,38035,38368,37704,38109,37491,37228,37671,38136
357,38467,38877,38035,38368,37704,38109,37491,37228,37671,38136
358,38467,38877,38035,38368,37704,38109,37491,37228,37671,38136
359,38467,38877,38035,38368,37704,38109,37491,37228,37671,38136
360,38467,38877,38181,38368,37704,38109,37491,37228,37671,38136
361,38467,38877,38181,38368,37704,38109,37491,37228,37671,38136
362,38467,38877,38181,38368,37704,38109,37491,37228,37671,38136
363,38467,38877,38181,38368,37704,38109,37491,37687,37671,38136
364,38467,38877,38181,38368,37704,38109,37491,37687,37671,38136
365,38467,38877,38181,38368,37704,38109,37491,37687,37671,38136
366,38467,38877,38181,38368,37704,38109,37491,37687,37671,38136
367,38467,38877,38181,38368,37704,38109,37491,37687,37671,38136
368,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
369,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
370,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
371,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
372,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
373,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
374,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
375,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
376,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
377,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
378,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
379,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
380,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
381,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
382,38467,38877,38181,38368,37704,38109,37619,37687,37671,38136
383,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
384,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
385,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
386,38467,38877,38181,38368,37746,38109,37619,37687,37671,38136
