geracao;tempo_geracao_s;tempo_callback_s;valor_acumulado_melhor_geracao;peso_acumulado_melhor_geracao;quantidade_itens_melhor_geracao;fitness_medio_populacao;fitness_pior_populacao;melhor_valor_global_ate_agora;peso_melhor_global_ate_agora;quantidade_itens_melhor_global_ate_agora;geracao_melhor_global;houve_melhoria_global
153;0.044745;0.000146;49653;42203;745;48981.34;47854.0;49653;42183;747;133;False
154;0.050775;0.000139;49653;42203;745;48908.74;47591.0;49653;42183;747;133;False
155;0.04034;0.000135;49653;42203;745;48958.96;48022.0;49653;42183;747;133;False
156;0.033576;0.000124;49653;42203;745;49007.06;47530.0;49653;42183;747;133;False
157;0.031646;0.000118;49653;42203;745;49162.81;47924.0;49653;42183;747;133;False
158;0.035157;0.000205;49653;42203;745;49094.19;47922.0;49653;42183;747;133;False
159;0.034405;0.000121;49653;42203;745;49185.4;48443.0;49653;42183;747;133;False
160;0.031591;0.00012;49653;42203;745;49159.51;48024.0;49653;42183;747;133;False
161;0.031415;0.000125;49653;42203;745;49096.24;48269.0;49653;42183;747;133;False
162;0.030827;0.000125;49653;42203;745;49060.07;48100.0;49653;42183;747;133;False
163;0.030645;0.000166;49653;42203;745;49090.25;47925.0;49653;42183;747;133;False
164;0.030096;0.000117;49655;42195;746;49064.51;47979.0;49655;42195;746;164;True
165;0.036838;0.000126;49655;42195;746;49117.94;48153.0;49655;42195;746;164;False
166;0.035405;0.000259;49655;42195;746;49160.24;48282.0;49655;42195;746;164;False
167;0.030727;0.000112;49655;42195;746;49089.81;47838.0;49655;42195;746;164;False
168;0.032136;0.000118;49655;42195;746;49255.92;48046.0;49655;42195;746;164;False
169;0.031589;0.000116;49655;42195;746;49160.23;48195.0;49655;42195;746;164;False
170;0.032059;0.000119;49655;42195;746;48986.28;48055.0;49655;42195;746;164;False
171;0.037911;0.000244;49655;42195;746;48935.96;47977.0;49655;42195;746;164;False
172;0.029937;0.000125;49655;42195;746;48913.05;47945.0;49655;42195;746;164;False
173;0.029748;0.000122;49655;42195;746;48957.94;47973.0;49655;42195;746;164;False
174;0.031261;0.00014;49655;42195;746;48872.48;47711.0;49655;42195;746;164;False
