geracao;tempo_geracao_s;tempo_callback_s
502;0.027914;6.8e-05
503;0.027833;7.1e-05
504;0.079117;0.000126
505;0.036935;7e-05
506;0.02848;6.6e-05
507;0.027174;6.9e-05
508;0.02724;7.9e-05
509;0.034472;8.3e-05
510;0.039479;7.8e-05
511;0.042939;9.6e-05
512;0.037717;8.3e-05
513;0.031424;7.4e-05
514;0.029022;7.3e-05
515;0.031089;0.000111
516;0.031026;7.1e-05
517;0.02776;6.7e-05
518;0.028787;7.1e-05
519;0.031065;6.8e-05
520;0.027584;6.6e-05
521;0.027561;8e-05
522;0.026526;6.1e-05
523;0.027303;7.1e-05
524;0.029834;8.1e-05
525;0.027747;6.8e-05
526;0.031069;7.6e-05
527;0.030162;7.5e-05
528;0.03177;7.7e-05
529;0.030012;7.1e-05
530;0.030387;7.6e-05
531;0.030235;6.7e-05
532;0.027466;6.2e-05
533;0.026256;6.8e-05
534;0.027471;6.3e-05
535;0.025469;6.2e-05
536;0.024757;6.2e-05
537;0.025409;6.3e-05
538;0.025622;6.1e-05
539;0.025052;6.4e-05
540;0.024505;5.7e-05
541;0.024754;6.4e-05
542;0.025151;6e-05
543;0.025757;6.4e-05
544;0.025992;6e-05
545;0.03316;8.8e-05
546;0.047134;0.000109
547;0.100524;0.000137
548;0.059865;8.8e-05
549;0.043723;9.2e-05
550;0.031496;7e-05
551;0.02806;6.5e-05
552;0.027995;6.7e-05
553;0.026791;6.2e-05
554;0.026717;6.5e-05
555;0.029623;6.8e-05
556;0.028881;7e-05
557;0.026395;6.5e-05
558;0.025767;6.6e-05
559;0.025219;5.8e-05
560;0.026795;6.7e-05
561;0.030381;7.5e-05
562;0.033189;8.2e-05
563;0.029862;6.8e-05
564;0.027374;0.00012
565;0.025613;5.9e-05
566;0.026724;6.5e-05
567;0.027715;8e-05
568;0.025271;5.9e-05
569;0.024942;6.1e-05
570;0.028109;7e-05
571;0.037992;0.000102
572;0.043518;0.00016
573;0.056724;7.6e-05
574;0.039189;0.000115
575;0.037238;0.000118
576;0.035463;8.2e-05
577;0.028408;6.7e-05
578;0.032679;8.5e-05
579;0.039125;8.2e-05
580;0.031522;0.00011
581;0.037989;8.2e-05
582;0.029356;0.000115
583;0.026457;6.7e-05
584;0.029659;6.9e-05
585;0.028666;6.9e-05
586;0.028247;7e-05
587;0.028949;7e-05
588;0.029279;6.7e-05
589;0.02815;6.7e-05
