avaliacao,SA Original,SA Variação 1,SA Variação 2
234,38314.9,38220.2,40597.9
235,38333.3,38238.6,40601.2
236,38348.7,38254.0,40605.9
237,38348.7,38254.0,40616.8
238,38370.4,38275.7,40616.8
239,38383.5,38300.3,40626.1
240,38393.7,38310.5,40654.8
241,38422.4,38345.6,40660.9
242,38447.2,38364.4,40660.9
243,38462.5,38394.2,40701.0
244,38503.2,38410.6,40712.0
245,38539.9,38454.5,40712.0
246,38549.9,38484.0,40720.8
247,38566.4,38485.8,40773.2
248,38581.5,38496.9,40822.3
249,38582.8,38502.6,40831.0
250,38583.2,38502.6,40838.2
251,38590.4,38507.4,40857.4
252,38590.4,38526.7,40884.0
253,38629.4,38550.8,40887.9
254,38685.9,38584.7,40924.9
255,38711.1,38615.9,40924.9
256,38711.6,38616.4,40953.4
257,38730.0,38634.8,40970.0
258,38753.2,38650.7,40991.2
259,38769.6,38683.2,40998.2
260,38786.5,38689.2,41041.5
261,38822.4,38722.0,41048.8
262,38832.9,38741.4,41052.9
263,38851.8,38756.6,41058.8
264,38856.2,38778.3,41060.2
265,38873.5,38778.3,41069.2
266,38873.5,38778.3,41074.3
267,38875.2,38780.0,41107.4
268,38888.5,38793.3,41115.0
269,38906.6,38811.4,41126.1
270,38922.6,38827.4,41126.1
271,38931.6,38828.0,41148.8
272,38939.7,38834.9,41205.7
273,38939.7,38834.9,41206.3
274,38939.7,38834.9,41206.3
275,38943.1,38834.9,41208.1
276,38943.1,38838.3,41212.2
277,38948.7,38843.9,41212.2
278,38959.4,38854.6,41248.1
279,38984.9,38877.2,41248.1
280,39009.8,38899.3,41248.1
281,39021.5,38916.7,41248.1
282,39050.2,38956.5,41249.8
283,39068.2,38963.3,41250.8
284,39078.6,38964.2,41273.9
285,39078.6,38964.2,41274.7
286,39092.5,38990.7,41279.6
287,39130.9,39014.9,41314.9
288,39140.5,39018.7,41314.9
289,39156.5,39035.2,41318.2
290,39159.6,39055.9,41318.2
291,39177.8,39055.9,41339.9
292,39188.3,39064.4,41345.7
293,39214.5,39090.6,41345.7
294,39225.2,39105.0,41345.7
295,39241.5,39111.7,41345.7
296,39262.6,39116.9,41345.7
297,39292.8,39128.7,41345.7
298,39295.0,39146.0,41367.7
299,39314.9,39158.0,41372.6
300,39314.9,39158.0,41372.6
301,39320.0,39158.0,41372.6
302,39356.5,39172.8,41372.6
303,39361.8,39173.2,41388.7
304,39381.7,39188.7,41413.5
305,39398.7,39205.9,41455.1
306,39403.7,39210.7,41484.5
307,39438.3,39243.4,41486.8
308,39456.7,39256.0,41504.2
309,39462.8,39268.6,41549.5
310,39509.2,39311.4,41549.5
311,39544.8,39348.4,41558.3
312,39563.4,39370.1,41572.5
313,39585.9,39390.8,41580.8
314,39602.1,39397.2,41585.9
315,39624.3,39413.7,41608.9
316,39638.1,39426.6,41670.3
317,39640.6,39441.6,41670.3
318,39654.0,39444.0,41672.3
319,39676.6,39467.8,41680.5
320,39706.9,39494.6,41692.0
321,39726.2,39525.3,41695.7
322,39765.0,39546.0,41697.7
323,39790.4,39571.1,41703.2
324,39790.9,39571.6,41746.2
325,39800.8,39584.3,41760.8
326,39825.4,39606.1,41768.9
327,39828.7,39614.4,41808.3
328,39853.8,39634.5,41824.0
329,39885.3,39654.3,41829.5
330,39885.3,39654.3,41837.4
331,39920.1,39675.3,41842.0
332,39936.7,39691.9,41849.8
333,39961.9,39717.1,41864.0
334,39966.1,39721.3,41924.3
335,39985.9,39741.1,41939.8
336,40000.4,39762.6,41944.1
337,40032.1,39794.3,41955.5
338,40038.3,39794.3,41955.5
339,40054.9,39817.1,41975.9
340,40067.7,39818.2,41989.9
341,40080.6,39833.3,42008.6
342,40101.7,39850.3,42044.8
343,40126.7,39871.7,42088.6
344,40169.0,39903.0,42116.8
345,40170.7,39904.7,42116.8
346,40170.7,39921.3,42121.3
347,40189.9,39939.7,42121.4
348,40231.4,39957.1,42121.4
349,40245.9,39971.6,42139.2
350,40258.4,39982.8,42187.5
351,40258.4,39982.8,42187.5
352,40283.4,39998.4,42210.9
353,40287.9,40002.9,42218.6
354,40293.5,40003.8,42227.2
355,40320.6,40030.4,42237.4
356,40332.3,40050.7,42245.5
357,40358.7,40058.1,42269.9
358,40395.6,40088.9,42283.2
359,40406.9,40100.2,42293.7
360,40412.9,40106.2,42309.4
361,40445.9,40120.6,42336.1
362,40449.6,40122.0,42357.0
363,40454.3,40122.2,42357.0
364,40477.3,40131.8,42363.5
365,40502.3,40161.5,42388.0
366,40544.9,40202.2,42409.6
367,40559.8,40213.1,42437.1
368,40591.9,40245.2,42446.7
369,40622.8,40270.7,42448.6
370,40627.8,40275.7,42448.6
371,40665.8,40305.8,42461.7
372,40689.1,40328.6,42464.3
373,40712.2,40346.0,42464.3
374,40743.5,40369.0,42465.6
375,40779.8,40395.2,42479.6
376,40812.3,40433.8,42483.7
377,40821.0,40447.4,42483.7
378,40840.8,40467.8,42483.7
379,40864.3,40488.1,42490.8
380,40896.1,40525.2,42491.2
381,40918.6,40554.0,42491.2
382,40928.4,40563.8,42510.6
383,40947.6,40572.3,42510.6
384,40956.2,40580.9,42510.6
385,40956.2,40580.9,42547.1
386,40956.2,40585.1,42547.5
387,40963.5,40589.3,42547.5
388,40967.7,40589.3,42549.6
389,40979.2,40600.4,42552.4
390,41007.3,40623.9,42553.0
391,41014.7,40632.3,42553.0
392,41014.7,40632.3,42553.0
393,41033.9,40651.5,42558.4
394,41044.9,40662.5,42597.3
