avaliacao,sa1,sa2,sa3,sa4,sa5,sa6,sa7,sa8,sa9,sa10
214,38735,39087,37883,37672,36275,37640,37272,38303,37783,37336
215,38752,39087,37883,37672,36275,37640,37272,38303,37850,37501
216,38752,39087,37883,37836,36275,37640,37272,38303,37942,37625
217,38752,39087,38012,37850,36275,37640,37388,38303,37942,37625
218,38827,39087,38012,37988,36275,37726,37388,38365,37943,37800
219,38827,39087,38012,38159,36275,37899,37388,38396,37943,37994
220,38827,39103,38012,38216,36302,37899,37388,38396,37943,38090
221,38827,39103,38012,38350,36302,37899,37388,38396,37943,38140
222,38827,39103,38012,38350,36302,37899,37388,38396,37943,38140
223,38827,39103,38024,38383,36302,38030,37388,38396,37943,38231
224,38827,39103,38040,38383,36418,38071,37388,38396,37943,38231
225,38827,39103,38040,38383,36418,38071,37388,38513,37943,38270
226,38827,39103,38040,38383,36418,38071,37388,38513,37943,38280
227,38827,39103,38040,38436,36418,38071,37388,38513,37943,38280
228,38827,39103,38040,38436,36418,38112,37447,38513,37964,38280
229,38827,39121,38040,38436,36418,38282,37574,38513,37964,38355
230,38827,39176,38040,38436,36418,38282,37574,38513,37964,38356
231,38827,39176,38040,38445,36418,38282,37576,38571,38010,38356
232,38827,39176,38040,38445,36418,38332,37576,38599,38010,38356
233,38827,39176,38040,38494,36418,38332,37576,38599,38157,38356
234,38827,39280,38040,38514,36418,38332,37679,38599,38157,38356
235,38827,39280,38040,38514,36418,38332,37863,38599,38157,38356
236,38827,39280,38040,38541,36418,38459,37863,38599,38157,38356
237,38827,39280,38040,38541,36418,38459,37863,38599,38157,38356
238,38827,39289,38040,38541,36418,38603,37927,38599,38157,38356
239,38827,39289,38072,38541,36533,38634,37995,38599,38157,38356
240,38827,39289,38072,38541,36533,38736,37995,38599,38157,38356
241,38827,39456,38072,38541,36597,38751,37995,38599,38157,38461
242,38827,39456,38072,38541,36612,38751,38085,38599,38157,38544
243,38936,39456,38072,38555,36697,38841,38085,38599,38157,38544
244,38936,39456,38072,38555,36697,38923,38085,38681,38157,38544
