avaliacao,sa1,sa2
325,41467,42907
326,41495,42907
327,41495,42907
328,41545,42907
329,41545,42962
330,41545,42962
331,41545,42962
332,41545,42962
333,41545,43056
334,41545,43352
335,41545,43352
336,41545,43352
337,41545,43352
338,41545,43352
339,41545,43352
340,41660,43435
341,41660,43518
342,41682,43518
343,41682,43518
344,41719,43518
345,41719,43518
346,41719,43518
347,41885,43518
348,42069,43518
349,42069,43555
350,42069,43555
351,42069,43555
352,42069,43555
353,42069,43555
354,42069,43555
355,42069,43555
356,42069,43555
357,42175,43555
358,42175,43555
359,42175,43555
360,42175,43555
361,42175,43555
362,42175,43555
363,42175,43555
364,42175,43555
365,42175,43555
366,42175,43555
367,42175,43830
368,42175,43830
369,42175,43830
370,42175,43830
371,42175,43830
372,42175,43830
373,42175,43830
374,42175,43830
375,42175,43830
376,42175,43830
377,42175,43830
378,42175,43830
379,42175,43830
380,42175,43830
381,42175,43830
382,42175,43830
383,42175,43830
384,42175,43830
385,42175,43830
386,42175,43830
387,42175,43830
388,42175,43830
389,42175,43830
390,42178,43830
391,42178,43830
392,42178,43830
393,42178,43830
394,42178,43830
395,42178,43830
396,42178,43830
397,42178,43830
398,42178,43830
399,42250,43830
400,42288,43830
401,42288,43830
402,42400,43830
403,42445,43830
404,42445,43830
405,42445,43830
406,42583,43830
407,42721,43830
408,42791,43830
409,42801,43830
410,42816,43830
411,42816,43830
412,42816,43830
413,42816,43830
414,42816,43830
415,42816,43830
416,42816,43830
417,42816,43830
418,42816,43830
419,42816,43830
420,42816,43830
421,42816,43830
422,42816,43836
423,42816,43836
424,42816,44043
425,42816,44043
426,42816,44043
427,42816,44043
428,42816,44043
429,42816,44043
430,42816,44043
431,42816,44043
432,42816,44043
433,42816,44043
434,42816,44181
435,42816,44181
436,42816,44265
437,42816,44265
438,42816,44275
439,42816,44275
440,42816,44500
441,42816,44500
442,42816,44500
443,42816,44500
444,42816,44500
445,42816,44577
446,42816,44577
447,42816,44583
448,42816,44583
449,42816,44583
450,42816,44583
451,42816,44583
452,42816,44583
453,42816,44583
454,42816,44583
455,42816,44583
456,42816,44583
457,42816,44583
458,42816,44583
459,42816,44631
460,42816,44631
461,42816,44643
462,42816,44643
463,42816,44643
464,42816,44780
465,42816,44842
466,42816,44882
467,42816,44882
468,42816,44882
469,42816,45076
470,42816,45076
471,42816,45076
472,42816,45076
473,42816,45076
474,42816,45076
475,42816,45076
476,42816,45076
477,42816,45076
478,42816,45076
479,42816,45076
480,42939,45076
481,42990,45076
482,42990,45076
483,42990,45076
484,42990,45076
485,43012,45076
486,43160,45076
487,43301,45076
488,43301,45076
489,43301,45076
490,43301,45076
491,43301,45090
492,43323,45090
493,43348,45095
494,43348,45126
495,43348,45126
496,43348,45126
497,43348,45126
498,43348,45369
499,43348,45369
500,43348,45369
501,43348,45369
502,43348,45388
503,43348,45388
504,43348,45465
505,43348,45465
506,43348,45518
507,43348,45518
508,43348,45518
509,43348,45518
510,43348,45611
511,43348,45655
512,43436,45655
513,43436,45655
514,43436,45655
515,43436,45655
516,43446,45655
517,43455,45655
518,43455,45655
519,43456,45655
520,43456,45655
521,43516,45655
522,43516,45655
523,43574,45746
524,43574,45746
525,43574,45746
526,43615,45746
527,43615,45746
528,43702,45746
529,43702,45746
530,43750,45746
531,43750,45804
532,43808,45804
533,43808,45804
534,43899,45804
535,43899,45804
536,43899,45804
537,43899,45804
538,43899,45804
539,43899,45991
540,43899,45991
541,43899,45991
542,43899,46055
543,43899,46055
544,43899,46079
545,43899,46079
546,44005,46079
547,44110,46079
548,44241,46079
549,44391,46079
550,44391,46079
551,44391,46079
552,44391,46079
553,44391,46079
554,44391,46079
555,44391,46079
556,44391,46079
557,44391,46079
558,44391,46079
559,44391,46079
560,44391,46079
561,44391,46120
562,44391,46120
563,44391,46133
564,44391,46133
565,44391,46133
566,44391,46133
567,44391,46133
568,44391,46133
569,44391,46133
570,44391,46133
571,44391,46198
572,44391,46198
573,44391,46198
574,44391,46198
575,44391,46393
576,44391,46393
577,44391,46393
578,44391,46393
579,44435,46393
580,44435,46399
581,44435,46399
582,44435,46625
583,44435,46625
584,44435,46625
585,44435,46625
586,44435,46625
587,44435,46625
588,44435,46625
589,44435,46625
590,44435,46625
591,44478,46625
592,44478,46625
593,44478,46625
594,44478,46625
595,44478,46625
596,44478,46625
597,44478,46625
598,44478,46625
599,44478,46625
600,44478,46625
601,44478,46625
602,44567,46625
603,44567,46625
604,44567,46625
605,44567,46625
606,44738,46625
607,44738,46625
608,44738,46625
609,44738,46625
610,44882,46625
611,45074,46625
612,45074,46625
613,45074,46625
614,45074,46625
615,45074,46625
616,45074,46625
617,45074,46625
618,45074,46625
619,45074,46625
620,45074,46625
621,45077,46760
622,45077,46760
623,45138,46760
624,45138,46760
625,45171,46760
626,45171,46760
627,45171,46760
628,45171,46760
629,45171,46760
630,45171,46760
631,45171,46760
632,45171,46828
633,45171,46828
634,45171,46828
635,45171,46828
636,45171,46828
637,45171,46863
638,45294,46863
639,45294,46863
640,45294,46863
641,45403,46863
642,45444,46863
643,45444,46863
644,45444,46863
645,45444,46863
646,45444,46863
647,45444,46863
648,45451,46863
649,45451,46863
650,45451,46879
651,45451,46879
652,45451,46879
653,45451,47043
654,45499,47043
655,45522,47043
656,45536,47043
657,45536,47043
658,45536,47043
659,45611,47043
660,45611,47043
661,45611,47043
662,45611,47043
663,45611,47043
664,45611,47043
665,45611,47043
666,45611,47043
667,45611,47043
668,45611,47043
669,45611,47043
670,45611,47043
671,45648,47043
672,45685,47043
673,45685,47043
674,45685,47043
675,45797,47043
676,45797,47043
677,45797,47043
678,45797,47043
679,45797,47043
680,45797,47043
681,45797,47043
682,45797,47043
683,45797,47043
684,45834,47043
685,45834,47043
686,45835,47043
687,45835,47043
688,45835,47043
689,45836,47043
690,45883,47043
691,45883,47043
692,46073,47043
693,46073,47043
694,46073,47043
695,46073,47043
696,46073,47043
697,46073,47043
698,46073,47043
699,46090,47043
700,46090,47043
701,46090,47043
702,46090,47043
703,46090,47043
704,46090,47071
705,46090,47071
706,46090,47222
707,46090,47222
708,46118,47222
709,46118,47222
710,46142,47222
711,46142,47222
712,46142,47222
713,46156,47222
714,46163,47222
715,46312,47222
716,46312,47222
717,46314,47222
718,46314,47222
719,46314,47222
720,46372,47222
721,46372,47222
722,46372,47222
723,46372,47222
724,46376,47222
725,46376,47222
726,46408,47222
727,46408,47222
728,46408,47222
729,46408,47222
730,46408,47222
731,46408,47222
732,46408,47222
733,46408,47222
734,46408,47222
735,46408,47222
736,46408,47222
737,46408,47222
738,46410,47292
739,46410,47330
740,46410,47330
741,46410,47330
742,46410,47330
743,46410,47330
744,46410,47330
745,46410,47330
746,46410,47330
747,46410,47472
748,46410,47472
749,46410,47472
750,46410,47472
751,46410,47472
752,46410,47472
753,46410,47472
754,46461,47472
755,46475,47472
756,46475,47472
757,46479,47526
758,46479,47526
759,46479,47526
760,46479,47526
761,46479,47526
762,46479,47526
763,46550,47526
764,46571,47526
765,46588,47526
766,46588,47526
767,46588,47623
768,46588,47623
769,46588,47623
770,46588,47623
771,46588,47623
772,46588,47623
773,46588,47623
774,46588,47623
775,46588,47623
776,46588,47666
777,46588,47666
778,46588,47666
779,46588,47666
780,46588,47666
781,46588,47666
782,46588,47666
783,46588,47666
784,46588,47666
785,46588,47666
786,46588,47771
787,46588,47771
788,46588,47771
789,46588,47771
790,46588,47771
791,46588,47771
792,46588,47771
793,46588,47771
794,46616,47828
795,46616,47828
796,46616,47828
797,46619,47879
798,46619,47879
799,46619,47879
800,46619,47879
801,46619,47954
802,46619,47954
803,46619,47954
804,46619,47954
805,46619,47954
806,46619,47954
807,46619,47954
808,46619,47954
809,46744,47954
810,46797,47963
811,46798,47963
812,46830,47963
813,46830,47963
814,46830,47963
815,46830,47963
816,46895,48053
817,46987,48053
818,46987,48053
819,46998,48056
820,46998,48056
821,47030,48056
822,47166,48102
823,47275,48102
824,47275,48102
825,47275,48102
826,47275,48102
827,47275,48102
828,47275,48102
829,47275,48102
830,47275,48102
831,47275,48102
832,47275,48102
833,47275,48174
834,47275,48174
835,47277,48188
836,47277,48188
837,47277,48313
838,47278,48313
839,47442,48313
840,47442,48313
841,47442,48313
842,47505,48313
843,47505,48313
844,47505,48313
845,47505,48313
846,47688,48313
847,47688,48380
848,47688,48380
849,47688,48380
850,47688,48380
851,47688,48380
852,47688,48424
853,47688,48424
854,47688,48424
855,47688,48424
856,47688,48424
857,47688,48424
858,47688,48424
859,47688,48424
860,47688,48424
861,47688,48424
862,47688,48424
863,47688,48424
864,47688,48424
865,47688,48424
866,47688,48424
867,47688,48424
868,47688,48424
869,47688,48424
870,47688,48424
871,47688,48424
872,47688,48424
873,47688,48526
874,47688,48526
875,47688,48565
876,47688,48565
877,47688,48565
878,47688,48592
879,47688,48592
880,47688,48592
881,47688,48592
882,47688,48592
883,47688,48727
884,47729,48727
885,47729,48727
886,47782,48803
887,47782,48803
888,47782,48803
889,47782,48803
890,47782,48803
891,47782,48803
892,47872,48803
893,47885,48803
894,47885,48803
895,47885,48803
896,47912,48803
897,47912,48904
898,47912,48904
899,47912,48904
900,47912,48916
901,47912,48916
902,47912,48916
903,47912,48925
904,47912,49033
905,47969,49033
906,47980,49115
907,48098,49202
908,48098,49202
909,48098,49202
910,48098,49202
911,48098,49202
912,48098,49202
913,48098,49202
914,48098,49286
915,48098,49286
916,48098,49286
917,48098,49286
918,48098,49286
919,48098,49286
920,48098,49286
921,48098,49286
922,48098,49286
923,48098,49310
924,48098,49327
925,48098,49327
926,48098,49327
927,48098,49327
928,48098,49327
929,48098,49327
930,48098,49327
931,48098,49327
932,48098,49327
933,48098,49327
934,48098,49327
935,48098,49327
936,48098,49327
937,48098,49327
938,48098,49327
939,48098,49327
940,48098,49327
941,48098,49327
942,48098,49327
943,48098,49327
944,48098,49327
945,48098,49327
946,48098,49327
947,48098,49327
948,48098,49327
949,48098,49327
950,48098,49327
951,48098,49327
952,48098,49327
953,48098,49327
954,48098,49327
955,48098,49327
956,48098,49327
957,48098,49327
958,48098,49327
959,48098,49327
960,48098,49327
961,48098,49327
962,48098,49327
963,48098,49327
964,48098,49327
965,48098,49327
966,48165,49327
967,48165,49327
968,48165,49327
969,48165,49327
970,48165,49327
971,48165,49327
972,48165,49327
973,48165,49327
974,48165,49327
975,48165,49327
976,48165,49327
977,48165,49327
978,48208,49327
979,48208,49327
980,48208,49327
981,48208,49327
982,48208,49327
983,48208,49327
984,48208,49327
985,48208,49327
986,48208,49327
987,48208,49327
988,48208,49327
989,48208,49327
990,48208,49327
991,48208,49327
992,48208,49327
993,48208,49327
994,48208,49327
995,48208,49327
996,48208,49327
997,48208,49327
998,48208,49327
999,48208,49327
1000,48208,49327
1001,48208,49327
1002,48208,49327
1003,48208,49327
1004,48208,49327
1005,48208,49327
1006,48208,49327
1007,48208,49327
1008,48208,49327
1009,48208,49327
1010,48208,49327
1011,48208,49327
1012,48208,49327
1013,48208,49327
1014,48208,49327
1015,48314,49327
1016,48314,49327
1017,48328,49327
1018,48406,49327
1019,48420,49327
1020,48568,49327
1021,48568,49327
1022,48568,49327
1023,48568,49327
1024,48568,49327
1025,48568,49327
1026,48568,49327
1027,48598,49327
1028,48598,49327
1029,48598,49327
1030,48598,49327
1031,48598,49327
1032,48598,49327
1033,48598,49327
1034,48598,49327
1035,48598,49327
1036,48598,49327
1037,48598,49327
1038,48598,49327
1039,48598,49327
1040,48598,49327
1041,48603,49327
1042,48603,49327
1043,48618,49327
1044,48687,49327
1045,48687,49327
1046,48722,49327
1047,48829,49327
1048,48829,49327
1049,48829,49327
1050,48829,49327
1051,48829,49327
1052,48860,49327
1053,48860,49327
1054,48860,49327
1055,48982,49327
1056,48982,49327
1057,48982,49327
1058,49041,49327
1059,49141,49327
1060,49141,49327
1061,49141,49327
1062,49141,49327
1063,49141,49327
1064,49141,49327
1065,49141,49327
1066,49141,49327
1067,49225,49327
1068,49225,49327
1069,49225,49327
1070,49225,49327
1071,49225,49327
1072,49225,49327
1073,49231,49327
1074,49231,49327
1075,49231,49327
1076,49231,49327
1077,49231,49327
1078,49231,49327
1079,49231,49327
1080,49231,49327
1081,49231,49327
1082,49231,49327
1083,49231,49327
1084,49231,49327
1085,49231,49327
1086,49231,49327
1087,49231,49327
1088,49231,49327
1089,49231,49327
1090,49231,49327
1091,49231,49327
1092,49231,49327
1093,49231,49327
1094,49231,49327
1095,49231,49327
1096,49231,49327
1097,49231,49336
1098,49231,49336
1099,49231,49336
1100,49231,49336
1101,49231,49336
1102,49231,49336
1103,49231,49336
1104,49231,49336
1105,49231,49336
1106,49231,49336
1107,49231,49336
1108,49231,49336
1109,49231,49336
1110,49231,49336
1111,49231,49336
1112,49231,49336
1113,49231,49336
1114,49231,49336
1115,49231,49336
1116,49231,49336
1117,49231,49336
1118,49231,49336
1119,49231,49336
1120,49231,49336
1121,49231,49336
1122,49231,49336
1123,49231,49336
1124,49231,49336
1125,49231,49336
1126,49231,49336
1127,49249,49336
1128,49249,49336
1129,49249,49336
1130,49249,49336
1131,49249,49336
1132,49249,49336
1133,49249,49336
1134,49249,49336
1135,49249,49336
1136,49249,49336
1137,49249,49336
1138,49249,49336
1139,49249,49381
1140,49249,49381
1141,49249,49381
1142,49249,49381
1143,49249,49381
1144,49249,49381
1145,49260,49381
1146,49260,49381
1147,49260,49381
1148,49260,49381
1149,49260,49381
1150,49260,49381
1151,49260,49381
1152,49260,49381
1153,49260,49381
1154,49260,49381
1155,49260,49381
1156,49260,49381
1157,49260,49381
1158,49260,49381
1159,49260,49381
1160,49260,49381
1161,49260,49381
1162,49260,49381
1163,49260,49381
1164,49260,49381
1165,49260,49381
1166,49268,49381
1167,49268,49381
1168,49268,49381
1169,49268,49381
1170,49268,49381
1171,49268,49381
1172,49268,49381
1173,49268,49381
1174,49268,49381
1175,49268,49381
1176,49268,49381
1177,49268,49381
1178,49268,49381
1179,49268,49381
1180,49268,49381
1181,49268,49381
1182,49268,49381
1183,49268,49381
1184,49268,49381
1185,49268,49381
1186,49268,49381
1187,49268,49381
1188,49268,49381
1189,49268,49381
1190,49268,49381
1191,49268,49381
1192,49268,49381
1193,49268,49381
1194,49268,49381
1195,49268,49381
1196,49268,49381
1197,49268,49381
1198,49268,49381
1199,49268,49381
1200,49268,49381
1201,49268,49381
1202,49268,49381
1203,49268,49381
1204,49268,49381
1205,49268,49381
1206,49268,49381
1207,49268,49381
1208,49268,49381
1209,49268,49381
1210,49268,49381
1211,49268,49381
1212,49268,49381
1213,49268,49381
1214,49268,49381
1215,49268,49381
1216,49268,49381
1217,49268,49381
1218,49268,49381
1219,49268,49381
1220,49268,49381
1221,49268,49381
1222,49268,49381
1223,49268,49381
1224,49268,49381
1225,49268,49381
1226,49268,49381
1227,49268,49381
1228,49268,49381
1229,49268,49381
1230,49268,49381
1231,49268,49381
1232,49268,49381
1233,49268,49381
1234,49268,49400
1235,49268,49400
1236,49268,49400
1237,49268,49400
1238,49268,49400
1239,49268,49400
1240,49268,49400
1241,49268,49400
1242,49268,49400
1243,49268,49400
1244,49268,49400
1245,49268,49400
1246,49268,49400
1247,49268,49400
1248,49268,49400
1249,49268,49400
1250,49268,49400
1251,49268,49400
1252,49268,49400
1253,49268,49400
1254,49268,49400
1255,49268,49400
1256,49268,49400
1257,49268,49400
1258,49268,49400
1259,49268,49400
1260,49268,49400
1261,49268,49400
1262,49268,49400
1263,49268,49400
1264,49268,49400
1265,49268,49400
1266,49268,49400
1267,49268,49400
1268,49268,49400
1269,49268,49400
1270,49268,49400
1271,49268,49400
1272,49268,49400
1273,49268,49400
1274,49268,49400
1275,49268,49400
1276,49268,49400
1277,49268,49400
1278,49268,49400
1279,49268,49400
1280,49268,49400
1281,49268,49400
1282,49268,49400
1283,49268,49400
1284,49268,49400
1285,49268,49400
1286,49268,49400
1287,49268,49400
1288,49268,49400
1289,49268,49400
1290,49268,49400
1291,49268,49400
1292,49268,49400
1293,49268,49400
1294,49268,49400
1295,49268,49400
1296,49268,49400
1297,49268,49400
1298,49268,49400
1299,49268,49400
1300,49268,49400
1301,49268,49400
1302,49268,49400
1303,49268,49400
1304,49268,49400
1305,49268,49400
1306,49268,49400
1307,49268,49400
1308,49268,49400
1309,49268,49400
1310,49268,49400
1311,49268,49400
1312,49268,49400
1313,49268,49400
1314,49268,49400
1315,49268,49400
1316,49268,49400
1317,49268,49400
1318,49268,49400
1319,49268,49400
1320,49268,49400
1321,49268,49400
1322,49268,49400
1323,49268,49400
1324,49268,49400
1325,49268,49400
1326,49268,49400
1327,49268,49400
1328,49268,49400
1329,49268,49400
1330,49268,49400
1331,49268,49400
1332,49268,49400
1333,49268,49400
1334,49268,49400
1335,49268,49400
1336,49268,49400
1337,49268,49400
1338,49268,49400
1339,49268,49400
1340,49268,49400
1341,49268,49400
1342,49268,49400
1343,49268,49400
1344,49268,49400
1345,49268,49400
1346,49268,49400
1347,49268,49400
1348,49268,49400
1349,49268,49400
1350,49268,49400
1351,49268,49400
1352,49268,49400
1353,49268,49400
1354,49268,49400
1355,49268,49400
1356,49268,49400
1357,49268,49400
1358,49268,49400
1359,49268,49400
1360,49268,49400
1361,49268,49400
1362,49268,49400
1363,49268,49400
1364,49268,49400
1365,49268,49400
1366,49268,49400
1367,49268,49400
1368,49268,49400
1369,49268,49400
1370,49268,49400
1371,49268,49400
1372,49268,49400
1373,49268,49400
1374,49268,49400
1375,49268,49400
1376,49268,49400
1377,49268,49400
1378,49268,49400
1379,49268,49400
1380,49268,49400
1381,49268,49400
1382,49268,49400
1383,49268,49400
1384,49268,49400
1385,49268,49400
1386,49268,49400
1387,49268,49400
1388,49268,49400
1389,49268,49400
1390,49268,49400
1391,49268,49400
1392,49268,49400
1393,49268,49400
1394,49268,49400
1395,49268,49400
1396,49268,49400
1397,49268,49400
1398,49268,49400
1399,49268,49400
1400,49268,49400
1401,49268,49400
1402,49268,49400
1403,49268,49400
1404,49268,49400
1405,49268,49400
1406,49268,49400
1407,49268,49400
1408,49268,49400
1409,49268,49400
1410,49268,49400
1411,49268,49400
1412,49268,49400
1413,49268,49400
1414,49268,49400
1415,49268,49400
1416,49268,49400
1417,49268,49400
1418,49268,49400
1419,49268,49400
1420,49268,49400
1421,49268,49400
1422,49268,49400
1423,49268,49400
1424,49268,49400
1425,49268,49400
1426,49268,49400
1427,49268,49400
1428,49268,49400
1429,49268,49400
1430,49268,49400
1431,49268,49400
1432,49268,49400
1433,49268,49400
1434,49268,49400
1435,49268,49400
1436,49268,49400
1437,49268,49400
1438,49268,49400
1439,49268,49400
1440,49268,49400
1441,49268,49400
1442,49268,49400
1443,49268,49400
1444,49268,49400
1445,49268,49400
1446,49268,49400
1447,49268,49400
1448,49268,49400
1449,49268,49400
1450,49268,49400
1451,49268,49400
1452,49268,49400
1453,49268,49400
1454,49268,49400
1455,49268,49400
1456,49268,49400
1457,49268,49400
1458,49268,49400
1459,49268,49400
1460,49268,49400
1461,49268,49400
1462,49268,49400
1463,49268,49400
1464,49268,49400
1465,49268,49400
1466,49268,49400
1467,49268,49400
1468,49268,49400
1469,49268,49400
1470,49268,49400
1471,49268,49400
1472,49268,49400
1473,49268,49400
1474,49268,49400
1475,49268,49400
1476,49268,49400
1477,49268,49400
1478,49268,49400
1479,49268,49400
1480,49268,49400
1481,49268,49400
1482,49268,49400
1483,49268,49400
1484,49268,49400
1485,49268,49400
1486,49268,49400
1487,49268,49400
1488,49268,49400
1489,49268,49400
1490,49268,49400
1491,49268,49400
1492,49268,49400
1493,49268,49400
1494,49268,49400
1495,49268,49400
1496,49268,49400
1497,49268,49400
1498,49268,49400
1499,49268,49400
1500,49268,49400
1501,49268,49400
1502,49268,49400
1503,49268,49400
1504,49268,49400
1505,49268,49400
1506,49268,49400
1507,49268,49400
1508,49268,49400
1509,49268,49400
1510,49268,49400
1511,49268,49400
1512,49268,49400
1513,49268,49400
1514,49268,49400
1515,49268,49400
1516,49268,49400
1517,49268,49400
1518,49268,49400
1519,49268,49400
1520,49268,49400
1521,49268,49400
1522,49268,49400
1523,49268,49400
1524,49268,49400
1525,49268,49400
1526,49268,49400
1527,49268,49400
1528,49268,49400
1529,49268,49400
1530,49268,49400
1531,49268,49400
1532,49268,49400
1533,49268,49400
1534,49268,49400
1535,49268,49400
1536,49268,49400
1537,49268,49400
1538,49268,49400
1539,49268,49400
1540,49268,49400
1541,49268,49400
1542,49268,49400
1543,49268,49400
1544,49268,49400
1545,49268,49400
1546,49268,49400
1547,49268,49400
1548,49268,49400
1549,49268,49400
1550,49268,49400
1551,49268,49400
1552,49268,49400
1553,49268,49400
1554,49268,49400
1555,49268,49400
1556,49268,49400
1557,49268,49400
1558,49268,49400
1559,49268,49400
1560,49268,49400
1561,49268,49400
1562,49268,49400
1563,49268,49400
1564,49268,49400
1565,49268,49400
1566,49268,49400
1567,49268,49400
1568,49268,49400
1569,49268,49400
1570,49268,49400
1571,49268,49400
1572,49268,49400
1573,49268,49400
1574,49268,49400
1575,49268,49400
1576,49268,49400
1577,49268,49400
1578,49268,49400
1579,49268,49400
1580,49268,49400
1581,49268,49400
1582,49268,49400
1583,49268,49400
1584,49268,49400
1585,49268,49400
1586,49268,49400
1587,49268,49400
1588,49268,49400
1589,49268,49400
1590,49268,49400
1591,49268,49400
1592,49268,49400
1593,49268,49400
1594,49268,49400
1595,49268,49400
1596,49268,49400
1597,49268,49400
1598,49268,49400
1599,49268,49400
1600,49268,49400
1601,49268,49400
1602,49268,49400
1603,49268,49400
1604,49268,49400
1605,49268,49400
1606,49268,49400
1607,49268,49400
1608,49268,49400
1609,49268,49400
1610,49268,49400
1611,49268,49400
1612,49268,49400
1613,49268,49400
1614,49268,49400
1615,49268,49400
1616,49268,49400
1617,49268,49400
1618,49268,49400
1619,49268,49400
1620,49268,49400
1621,49268,49400
1622,49268,49400
1623,49268,49400
1624,49268,49400
1625,49268,49400
1626,49268,49400
1627,49268,49400
1628,49268,49400
1629,49268,49400
1630,49268,49400
1631,49268,49400
1632,49268,49400
1633,49268,49400
1634,49268,49400
1635,49268,49400
1636,49268,49400
1637,49268,49400
1638,49268,49400
1639,49268,49400
1640,49268,49400
1641,49268,49400
1642,49268,49400
1643,49268,49400
1644,49268,49400
1645,49268,49400
1646,49268,49400
1647,49268,49400
1648,49268,49400
1649,49268,49400
1650,49268,49400
1651,49268,49400
1652,49268,49400
1653,49268,49400
1654,49268,49400
1655,49268,49400
1656,49268,49400
1657,49268,49400
1658,49268,49400
1659,49268,49400
1660,49268,49400
1661,49268,49400
1662,49268,49400
