step,best_fitness_media,best_fitness_execucao_1,best_fitness_execucao_2,best_fitness_execucao_3,best_fitness_execucao_4,best_fitness_execucao_5,best_fitness_execucao_6,best_fitness_execucao_7,best_fitness_execucao_8,best_fitness_execucao_9,best_fitness_execucao_10
99,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
100,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
101,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
102,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
103,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
104,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
105,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
106,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
107,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
108,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
109,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
110,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
111,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
112,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
113,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
114,50692.4,50689.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
115,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
116,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
117,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
118,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
119,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
120,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
121,50692.8,50693.0,50692.0,50694.0,50694.0,50694.0,50693.0,50691.0,50692.0,50692.0,50693.0
